title,author,ISBN,rating,rating count,url
The Push,Ashley Audrain, 9781984881663,4.12,132k,https://www.goodreads.com/book/show/52476830-the-push
The Wife Upstairs,Rachel Hawkins, 9781250245496,3.76,99.4k,https://www.goodreads.com/book/show/53137893-the-wife-upstairs
Lore,Alexandra Bracken, 9781484778203,3.84,39k,https://www.goodreads.com/book/show/53375824-lore
Concrete Rose,Angie Thomas, 9780062846716,4.43,37.3k,https://www.goodreads.com/book/show/52822210-concrete-rose
"Detransition, Baby",Torrey Peters, 9780593133378,4.04,30.1k,https://www.goodreads.com/book/show/48890225-detransition-baby
Outlawed,Anna North,NOT AVAILABLE,3.57,39.1k,https://www.goodreads.com/book/show/50997696-outlawed
A Thousand Ships,Natalie Haynes, 9780063065390,4.12,26.6k,https://www.goodreads.com/book/show/53487148-a-thousand-ships
The Ex Talk,Rachel Lynn Solomon,NOT AVAILABLE,3.8,31.8k,https://www.goodreads.com/book/show/53415121-the-ex-talk
Shipped,Angie Hockman, 9781982151591,3.69,30k,https://www.goodreads.com/book/show/54304013-shipped
Last Night at the Telegraph Club,Malinda Lo, 9780525555254,4.31,14.7k,https://www.goodreads.com/book/show/35224992-last-night-at-the-telegraph-club
The Prophets,Robert Jones Jr.,NOT AVAILABLE,3.95,13.1k,https://www.goodreads.com/book/show/52576333-the-prophets
We Free the Stars,Hafsah Faizal, 9780374311575,4.33,13.4k,https://www.goodreads.com/book/show/46223364-we-free-the-stars
A Vow So Bold and Deadly,Brigid Kemmerer, 9781547602582,3.84,20k,https://www.goodreads.com/book/show/53138253-a-vow-so-bold-and-deadly
You Have a Match,Emma Lord, 9781250237309,3.66,17.2k,https://www.goodreads.com/book/show/53138158-you-have-a-match
Bloodline,Jess Lourey,NOT AVAILABLE,3.84,20k,https://www.goodreads.com/book/show/50416762-bloodline
The Four Winds,Kristin Hannah,NOT AVAILABLE,4.32,303k,https://www.goodreads.com/book/show/53138081-the-four-winds
A ​Court of Silver Flames,Sarah J. Maas, 9781681196282,4.39,209k,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
The Spanish Love Deception,Elena  Armas,NOT AVAILABLE,4.2,103k,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception
The Paris Library,Janet Skeslien Charles, 9781982134198,4.08,50.1k,https://www.goodreads.com/book/show/52761909-the-paris-library
The Sanatorium,Sarah  Pearse, 9780593296677,3.41,80.6k,https://www.goodreads.com/book/show/56935099-the-sanatorium
The Four Winds,Kristin Hannah,NOT AVAILABLE,4.32,303k,https://www.goodreads.com/book/show/53496907-the-four-winds
Think Again: The Power of Knowing What You Don't Know,Adam M. Grant, 9781984878106,4.25,36.5k,https://www.goodreads.com/book/show/55539565-think-again
A ​Court of Silver Flames,Sarah J. Maas, 9781526602312,4.39,209k,https://www.goodreads.com/book/show/31050237-a-court-of-silver-flames
The Gilded Ones,Namina Forna,NOT AVAILABLE,4.04,21.6k,https://www.goodreads.com/book/show/40024121-the-gilded-ones
The Witch's Heart,Genevieve Gornichec, 9780593099940,4.09,15.3k,https://www.goodreads.com/book/show/53438195-the-witch-s-heart
The Shadow Box,Luanne Rice,NOT AVAILABLE,4.19,39.6k,https://www.goodreads.com/book/show/50710211-the-shadow-box
The Shadow Box,Sarah  Pearse,NOT AVAILABLE,3.41,80.6k,https://www.goodreads.com/book/show/56935099-the-sanatorium
Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad, 9780399588587,4.43,27.5k,https://www.goodreads.com/book/show/50743767-between-two-kingdoms
Honey Girl,Morgan  Rogers,NOT AVAILABLE,3.79,22.4k,https://www.goodreads.com/book/show/49362138-honey-girl
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates, 9780241448304,4.17,28.4k,https://www.goodreads.com/book/show/52275335-how-to-avoid-a-climate-disaster
The Lost Apothecary,Sarah Penner, 9780778311010,3.78,134k,https://www.goodreads.com/book/show/53288434-the-lost-apothecary
Klara and the Sun,Kazuo Ishiguro, 9780593318171,3.8,117k,https://www.goodreads.com/book/show/54120408-klara-and-the-sun
Rule of Wolves,Leigh Bardugo, 9781510109186,4.41,65.3k,https://www.goodreads.com/book/show/36307674-rule-of-wolves
The Rose Code,Kate Quinn, 9780062943477,4.47,78k,https://www.goodreads.com/book/show/53914938-the-rose-code
Firekeeper's Daughter,Angeline Boulley,NOT AVAILABLE,4.4,39.7k,https://www.goodreads.com/book/show/52346471-firekeeper-s-daughter
Chain of Iron,Cassandra Clare, 9781406358100,4.46,40.1k,https://www.goodreads.com/book/show/17699855-chain-of-iron
Later,Stephen King,NOT AVAILABLE,4.03,73k,https://www.goodreads.com/book/show/54798175-later
Of Women and Salt,Gabriela  Garcia, 9781250776686,3.71,19.4k,https://www.goodreads.com/book/show/53138197-of-women-and-salt
The Dating Plan,Sara Desai, 9780593100585,3.68,24.3k,https://www.goodreads.com/book/show/54326395-the-dating-plan
The Dating Plan,Chris Whitaker,NOT AVAILABLE,4.19,44.9k,https://www.goodreads.com/book/show/50279680-we-begin-at-the-end
"Act Your Age, Eve Brown",Talia Hibbert, 9780062941282,4.22,40.5k,https://www.goodreads.com/book/show/51824384-act-your-age-eve-brown
Every Last Fear,Alex Finlay, 9781250268822,3.94,20.2k,https://www.goodreads.com/book/show/53138046-every-last-fear
Infinite Country,Patricia Engel, 9781982159474,3.99,27.8k,https://www.goodreads.com/book/show/54303848-infinite-country
Eternal,Lisa Scottoline, 9780525539766,4.32,19.5k,https://www.goodreads.com/book/show/40204619-eternal
Every Vow You Break,Peter  Swanson, 9780062980038,3.45,21.6k,https://www.goodreads.com/book/show/54236119-every-vow-you-break
Crying in H Mart,Michelle Zauner, 9780525657743,4.35,62.9k,https://www.goodreads.com/book/show/54814676-crying-in-h-mart
The ​Crown of Gilded Bones,Jennifer L. Armentrout, 9781952457258,4.25,92.2k,https://www.goodreads.com/book/show/55240343-the-crown-of-gilded-bones
The Good Sister,Sally Hepworth, 9781250120953,4.19,62.7k,https://www.goodreads.com/book/show/53137974-the-good-sister
When the Stars Go Dark,Paula McLain, 9780593237892,3.89,32.8k,https://www.goodreads.com/book/show/54895727-when-the-stars-go-dark
Second First Impressions,Sally  Thorne, 9780063007130,3.66,36.7k,https://www.goodreads.com/book/show/45553600-second-first-impressions
Second First Impressions,Krystal Sutherland,NOT AVAILABLE,4.1,23k,https://www.goodreads.com/book/show/54613751-house-of-hollow
Dial A for Aunties,Jesse Q. Sutanto, 9780593336731,3.84,25.5k,https://www.goodreads.com/book/show/53310061-dial-a-for-aunties
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry, 9781250223180,4.51,16.6k,https://www.goodreads.com/book/show/53238858-what-happened-to-you
"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Mariana Zapata,NOT AVAILABLE,4.41,28.4k,https://www.goodreads.com/book/show/57605091-all-rhodes-lead-here
The Road Trip,Beth O'Leary, 9781529409055,3.64,28.4k,https://www.goodreads.com/book/show/51405046-the-road-trip
The Road Trip,Patrick Radden Keefe,NOT AVAILABLE,4.59,21.6k,https://www.goodreads.com/book/show/43868109-empire-of-pain
Broken (in the best possible way),Jenny  Lawson, 9781250077035,4.15,22.6k,https://www.goodreads.com/book/show/54305363-broken
The Venice Sketchbook,Rhys Bowen,NOT AVAILABLE,4.28,35.8k,https://www.goodreads.com/book/show/55073379-the-venice-sketchbook
Twisted Love,Ana Huang,NOT AVAILABLE,3.79,23.8k,https://www.goodreads.com/book/show/55817097-twisted-love
What Comes After,JoAnne  Tompkins, 9780593085998,3.86,17.3k,https://www.goodreads.com/book/show/54610962-what-comes-after
People We Meet on Vacation,Emily Henry, 9781984806758,4.09,256k,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
The Last Thing He Told Me,Laura Dave,NOT AVAILABLE,3.95,241k,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me
Project Hail Mary,Andy Weir, 9780593135204,4.53,159k,https://www.goodreads.com/book/show/54493401-project-hail-mary
Project Hail Mary,Christina Lauren,NOT AVAILABLE,4.05,55.4k,https://www.goodreads.com/book/show/55692620-the-soulmate-equation
Ariadne,Jennifer Saint, 9781250773586,3.83,25.9k,https://www.goodreads.com/book/show/54860614-ariadne
Local Woman Missing,Mary Kubica, 9780778389446,4.1,60.1k,https://www.goodreads.com/book/show/54737068-local-woman-missing
The Last Thing He Told Me,Laura Dave,NOT AVAILABLE,3.95,241k,https://www.goodreads.com/book/show/56169546-the-last-thing-he-told-me
The Plot,Jean Hanff Korelitz, 9781250790767,3.9,45.9k,https://www.goodreads.com/book/show/55315487-the-plot
The Anthropocene Reviewed,John Green, 9780525555216,4.47,28.7k,https://www.goodreads.com/book/show/55145261-the-anthropocene-reviewed
That Summer,Jennifer Weiner, 9781501133541,3.81,39.3k,https://www.goodreads.com/book/show/55467800-that-summer
"Heartstopper, Volume Four",Alice Oseman, 9781444952797,4.68,47.6k,https://www.goodreads.com/book/show/51574372-heartstopper-volume-four
"Heartstopper, Volume Four",Victoria Aveyard,NOT AVAILABLE,3.71,12.1k,https://www.goodreads.com/book/show/54513688-realm-breaker
Arsenic and Adobo,Mia P. Manansala,NOT AVAILABLE,3.6,31.6k,https://www.goodreads.com/book/show/54351235-arsenic-and-adobo
Hour of the Witch,Chris Bohjalian, 9780385542432,3.88,21.9k,https://www.goodreads.com/book/show/54063343-hour-of-the-witch
The Guncle,Steven  Rowley, 9780525542285,4.24,26.9k,https://www.goodreads.com/book/show/54508798-the-guncle
Malibu Rising,Taylor Jenkins Reid,NOT AVAILABLE,4.1,251k,https://www.goodreads.com/book/show/55404546-malibu-rising
The Maidens,Alex Michaelides, 9781250304452,3.64,107k,https://www.goodreads.com/book/show/45300567-the-maidens
One Last Stop,Casey McQuiston, 9781250244499,4.12,78.1k,https://www.goodreads.com/book/show/54860443-one-last-stop
Survive the Night,Riley Sager,NOT AVAILABLE,3.53,47.5k,https://www.goodreads.com/book/show/55628983-survive-the-night
Survive the Night,Zakiya Dalila Harris,NOT AVAILABLE,3.46,38.5k,https://www.goodreads.com/book/show/55711688-the-other-black-girl
Neon Gods,Katee Robert, 9781728231730,3.78,36.4k,https://www.goodreads.com/book/show/54659771-neon-gods
The Personal Librarian,Marie Benedict, 9780593101537,4.07,30.5k,https://www.goodreads.com/book/show/55333938-the-personal-librarian
Somebody's Daughter,Ashley C. Ford, 9781250305978,4.15,23.3k,https://www.goodreads.com/book/show/54860610-somebody-s-daughter
